compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
isoleucine	AGPKZVBTJJNPAG-UHFFFAOYSA-N	[M-H]-	130.087329	0.74646143	0.546461434	0.94646143		negative				20190221_KBL_TN-KZ_EMA_KZStds_Vials1to18_QE-HF_C18_USDAY46910_NEG_MSMS_10_KZ-stds-100MeOH_1_Rg70to1050-CE102040--S1_Run58.mzML	HF_Aug2019	
n-acetyl-alanine	KTHDTJVBEPMMGL-UHFFFAOYSA-N	[M-H]-	130.0509431	0.74851956	0.54851956	0.948519561		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_38_P-5-R-F_1_Rg90to1350-CE102040--S1_Run197.mzML	HF_Aug2019	
pterin	HNXQXTQTPAJEJL-UHFFFAOYSA-N	[M-H]-	162.0421098	0.748545435	0.548545435	0.94854544		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_39_P-5-R-G_1_Rg70to1050-CE102040--S1_Run43.mzML	HF_Aug2019	
5'-thymidylic acid	GYOZYWVXFNDGLU-XLPZGREQSA-N	[M-H]-	321.0493021	0.748798368	0.54879837	0.948798368		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_19_P-3-R-C_1_Rg70to1050-CE102040--S1_Run109.mzML	HF_Aug2019	
trans-4-cotininecarboxylic acid	DEYLVDCFTICBTB-PEHGTWAWSA-N	[M-H]-	219.077492	0.751041179	0.55104118	0.951041179		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_27_P-4-R-C_1_Rg90to1350-CE102040--S1_Run142.mzML	HF_Aug2019	
purine-6-thiol	GLVAUDGFNGKCSF-UHFFFAOYSA-N	[M-H]-	151.008367	0.76030546	0.56030546	0.96030546		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_218_P-28-R-B_1_Rg90to1350-CE102040--S1_Run1097.mzML	HF_Aug2019	
1-methyl-2,6-dioxo-1,3-dihydropyrimidine-4-carboxylic acid	OEGWVZNGNUHUQP-UHFFFAOYSA-N	[M-H]-	169.0254567	0.764897875	0.56489787	0.964897875		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_262_P-33-R-F_1_Rg90to1350-CE102040--S1_Run1317.mzML	HF_Aug2019	
azomycin	YZEUHQHUFTYLPH-UHFFFAOYSA-N	[M-H]-	112.015226	0.77848885	0.578488851	0.97848885		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_35_P-5-R-C_1_Rg90to1350-CE102040--S1_Run182.mzML	HF_Aug2019	
arbutin	BJRNKVDFDLYUGJ-RMPHRYRLSA-N	[M+formate]-	317.087804	0.78110771	0.581107709	0.98110771		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_41_P-6-R-A_1_Rg90to1350-CE102040--S1_Run212.mzML	HF_Aug2019	
mevalonate	KJTLQQUUPVSXIM-UHFFFAOYSA-N	[M-H]-	147.066259	0.78994605	0.589946048	0.98994605		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_43_P-6-R-C_1_Rg70to1050-CE102040--S1_Run189.mzML	HF_Aug2019	
lumazine	UYEUUXMDVNYCAM-UHFFFAOYSA-N	[M-H]-	163.0261254	0.79491767	0.59491767	0.994917669		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_25_P-4-R-A_1_Rg70to1050-CE102040--S1_Run139.mzML	HF_Aug2019	
STREPTOZOSIN	ZSJLQEPLLKMAKR-GKHCUFPYSA-N	[M-H]-	264.08372382000005	0.7968254747276589	0.29682547472765886	1.296825474727659		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_47_MS-P5-C8_1_Rg80to1200-CE205060norm--S1_Run257.h5	HF_Aug2019	
gallic acid	LNTHITQWFMADLM-UHFFFAOYSA-N	[M-H]-	169.014223	0.799507532	0.599507532	0.99950753		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_60_P-8-R-D_1_Rg90to1350-CE102040--S1_Run307.mzML	HF_Aug2019	
leucine	ROHFNLRQFUQHCH-UHFFFAOYSA-N	[M-H]-	130.087329	0.80604451	0.60604451	1.00604451		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_9_P-2-R-A_1_Rg70to1050-CE102040--S1_Run59.mzML	HF_Aug2019	
meglutol	NPOAOTPXWNWTSH-UHFFFAOYSA-N	[M-H]-	161.045523	0.808479196	0.6084792	1.0084792		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_13_P-2-R-E_1_Rg70to1050-CE102040--S1_Run79.mzML	HF_Aug2019	
ALLOPURINOL	OFCNXPDARWKPPY-UHFFFAOYSA-N	[M-H]-	135.031234748	0.8128425546397342	0.3128425546397342	1.312842554639734		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_1_MS-P1-C2_1_Rg80to1200-CE102040norm--S1_Run16.h5	HF_Aug2019	
5-fluorouridine	FHIDNBAQOFJWCA-UAKXSSHOSA-N	[M-H]-	261.052814	0.82021773	0.620217731	1.02021773		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_29_P-4-R-E_1_Rg90to1350-CE102040--S1_Run152.mzML	HF_Aug2019	
3-(2-thienyl)-alanine	WTOFYLAWDLQMBZ-UHFFFAOYSA-N	[M-H]-	170.0280995	0.83372797	0.63372797	1.033727975		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_257_P-33-R-A_1_Rg90to1350-CE102040--S1_Run1292.mzML	HF_Aug2019	
deoxyuridine	MXHRCPNRJAMMIM-SHYZEUOFSA-N	[M-H]-	227.067322	0.83614047	0.636140466	1.03614047		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_12_P-2-R-D_1_Rg70to1050-CE102040--S1_Run74.mzML	HF_Aug2019	
6-hydroxynicotinic acid	BLHCMGRVFXRYRN-UHFFFAOYSA-N	[M-H]-	138.019643	0.838615864	0.638615864	1.03861586		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_61_P-8-R-E_1_Rg90to1350-CE102040--S1_Run312.mzML	HF_Aug2019	
thymine	RWQNBRDOKXIBIV-UHFFFAOYSA-N	[M-H]-	125.035627	0.84082223	0.640822227	1.04082223		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_5_P-1-R-E_1_Rg70to1050-CE102040--S1_Run39.mzML	HF_Aug2019	
norleucine	LRQKBLKVPFOOQJ-YFKPBYRVSA-N	[M-H]-	130.087329	0.84515069	0.645150695	1.04515069		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_26_P-4-R-B_1_Rg70to1050-CE102040--S1_Run144.mzML	HF_Aug2019	
catalpol	LHDWRKICQLTVDL-PZYDOOQISA-N	[M+formate]-	407.119498	0.847633075	0.647633075	1.04763308		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_13_P-2-R-E_1_Rg90to1350-CE102040--S1_Run72.mzML	HF_Aug2019	
METHYLDOPA	CJCSPKMFHVPWAR-JTQLQIEISA-N	[M-H]-	210.077181896	0.856221242047331	0.35622124204733097	1.3562212420473312		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_33_MS-P4-C4_1_Rg80to1200-CE102040norm--S1_Run182.h5	HF_Aug2019	
2-hydroxybutyric acid	AFENDNXGAFYKQO-VKHMYHEASA-N	[M-H]-	103.040044	0.886880011	0.68688001	1.086880011		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_30_P-4-R-F_1_Rg70to1050-CE102040--S1_Run164.mzML	HF_Aug2019	
6-methylpurine	SYMHUEFSSMBHJA-UHFFFAOYSA-N	[M-H]-	133.051946	0.88888148	0.68888148	1.08888148		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_246_P-31-R-F_1_Rg90to1350-CE102040--S1_Run1237.mzML	HF_Aug2019	
4-quinolinecarboxylic acid	VQMSRUREDGBWKT-UHFFFAOYSA-N	[M-H]-	172.040379	0.90031205	0.700312049	1.10031205		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_43_P-6-R-C_1_Rg70to1050-CE102040--S1_Run189.mzML	HF_Aug2019	
ADENOSINE	OIRDTQYFTABQOQ-KQYNXXCUSA-N	[M-H]-	266.089477896	0.9021881029984994	0.4021881029984994	1.4021881029984993		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_10_MS-P1-C11_1_Rg80to1200-CE102040norm--S1_Run63.h5	HF_Aug2019	
4-methylquinoline-2-carboxylic acid	QBDSKOATHWHNOZ-UHFFFAOYSA-N	[M-H]-	186.056029	0.90962221	0.70962221	1.10962221		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_122_P-16-R-B_1_Rg90to1350-CE102040--S1_Run617.mzML	HF_Aug2019	
guanosine	NYHBQMYGNKIUIF-UUOKFMHZSA-N	[M-H]-	282.084369	0.9097565	0.7097565	1.1097565		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_0_QC-new_Pre_Rg70to1050-CE102040--QC_Run7.mzML	HF_Aug2019	
citraconic acid	HNEGQIOMVPPMNR-IHWYPQMZSA-N	[M-H]-	129.019309	0.91196524	0.711965238	1.11196524		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_59_P-Iso1n2n3n4n6-V1_1_Rg70to1050-CE102040--S1_Run219.mzML	HF_Aug2019	
4-acetamidobutyric acid	UZTFMUBKZQVKLK-UHFFFAOYSA-N	[M-H]-	144.0665932	0.91433222	0.71433222	1.11433222		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_12_P-2-R-D_1_Rg70to1050-CE102040--S1_Run74.mzML	HF_Aug2019	
inosine	UGQMRVRMYYASKQ-KQYNXXCUSA-N	[M-H]-	267.07347	0.91654679	0.716546791	1.11654679		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_2_P-1-R-B_1_Rg70to1050-CE102040--S1_Run24.mzML	HF_Aug2019	
5-hydroxy-l-tryptophan	LDCYZAJDBXYCGN-UHFFFAOYSA-N	[M-H]-	219.077492	0.93716853	0.73716853	1.13716853		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_28_P-4-R-D_1_Rg70to1050-CE102040--S1_Run154.mzML	HF_Aug2019	
ISOPROTERENOL HYDROCHLORIDE	JWZZKOKVBUJMES-UHFFFAOYSA-N	[M-H]-	210.113567404	0.9459391447448308	0.44593914474483076	1.4459391447448309		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_21_MS-P3-C2_1_Rg80to1200-CE102040norm--S1_Run120.h5	HF_Aug2019	
3-deazauridine	CBOKZNLSFMZJJA-UHFFFAOYSA-N	[M-H]-	242.066987	0.95132129	0.75132129	1.15132129		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_20_P-3-R-D_1_Rg90to1350-CE102040--S1_Run107.mzML	HF_Aug2019	
