compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
citrinin	CQIUKKVOEOPUDV-IYSWYEEDSA-N	[M-H]-	249.076824	4.67029645	4.470296452	4.87029645		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_3_P-1-R-C_1_Rg90to1350-CE102040--S1_Run22.mzML	HF_Aug2019	
4'-methoxyflavonol	IIBBFGMVMNZMGA-UHFFFAOYSA-N	[M-H]-	267.0662589	4.67321042	4.473210423	4.87321042		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_18_P-3-R-B_1_Rg90to1350-CE102040--S1_Run97.mzML	HF_Aug2019	
6-[(2-hydroxyethyl)amino]-5-iodo-1,3-dihydropyrimidine-2,4-dione	DVJSNPDCGVJFIZ-UHFFFAOYSA-N	[M-H]-	295.953739	4.67361067	4.47361067	4.87361067		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_280_P-35-R-H_1_Rg90to1350-CE102040--S1_Run1407.mzML	HF_Aug2019	
n-(3-fluorophenyl)-2-[2-oxo-4-(n-propylcarbamoyl)hydroquinolyl]acetamide	ZYMQVFLKTUJYTM-UHFFFAOYSA-N	[M+formate]-	426.147071	4.67372408	4.47372408	4.87372408		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_174_P-22-R-F_1_Rg90to1350-CE102040--S1_Run877.mzML	HF_Aug2019	
KITASAMYCINS [A1 shown]	IEMDOFXTVAPVLX-YSYWUJBOSA-N	[M+Cl]-	820.425557824	4.676346749693964	4.176346749693964	5.176346749693964		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_37_MS-P4-C8_1_Rg80to1200-CE102040norm--S1_Run204.h5	HF_Aug2019	
6-hydroxy-3'-methoxyflavone	JTOPPXPJVKFGSW-UHFFFAOYSA-N	[M-H]-	267.0662589	4.67999973	4.47999973	4.87999973		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_16_P-2-R-H_1_Rg90to1350-CE102040--S1_Run87.mzML	HF_Aug2019	
propan-2-yl 4-(3-chloro-4-hydroxy-5-methoxyphenyl)-2-methyl-5-oxo-1,4,5,6,7,8-hexahydroquinoline-3-carboxylate	XPGFHNDBGHFQQE-UHFFFAOYSA-N	[M-H]-	404.127001	4.680859996	4.48086	4.880859996		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_21_P-3-R-E_1_Rg90to1350-CE102040--S1_Run112.mzML	HF_Aug2019	
3,7-dihydroxyflavone	UWQJWDYDYIJWKY-UHFFFAOYSA-N	[M-H]-	253.050609	4.68091527	4.48091527	4.88091527		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_233_P-30-R-A_1_Rg90to1350-CE102040--S1_Run1172.mzML	HF_Aug2019	
3-(3,4-dichlorophenyl)-2-(purin-6-ylthiomethyl)-3-hydroquinazolin-4-one	QBVSZUQSCUIFPH-UHFFFAOYSA-N	[M-H]-	453.009735	4.68198248	4.48198248	4.88198248		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_36_P-5-R-D_1_Rg90to1350-CE102040--S1_Run187.mzML	HF_Aug2019	
HYDROCORTISONE ACETATE	ALEXXDVDDISNDU-KPYZGQEZSA-N	[M-H]-	403.212612744	4.682703745115952	4.182703745115952	5.182703745115951		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_23_MS-P3-C4_1_Rg80to1200-CE102040norm--S1_Run130.h5	HF_Aug2019	
TOLBUTAMIDE	JLRGJRBPOGGCBT-UHFFFAOYSA-N	[M-H]-	269.096537436	4.683278730819881	4.183278730819881	5.183278730819881		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_45_MS-P5-C6_1_Rg80to1200-CE205060norm--S1_Run245.h5	HF_Aug2019	
2-(4-hydroxyquinazolin-2-ylthio)-1-(2-methylpiperidyl)ethan-1-one	JDYDUSALXVAQRZ-UHFFFAOYSA-N	[M-H]-	316.112498	4.68420996	4.484209962	4.88420996		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_193_P-25-R-A_1_Rg90to1350-CE102040--S1_Run972.mzML	HF_Aug2019	
4-(difluoromethoxy)-3-ethoxy-n-(1-methyl-1h-pyrazol-3-yl)benzamide	ZZNUGENJOWORSW-UHFFFAOYSA-N	[M-H]-	310.100848	4.68507685	4.48507685	4.88507685		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_275_P-35-R-C_1_Rg90to1350-CE102040--S1_Run1382.mzML	HF_Aug2019	
n-(2-methylphenyl)-2-[9-(4-methylphenyl)-6-oxohydropurin-8-ylthio]acetamide	UXUBRDYYFLTCOI-UHFFFAOYSA-N	[M-H]-	404.118646	4.6897804	4.4897804	4.8897804		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_183_P-23-R-G_1_Rg90to1350-CE102040--S1_Run922.mzML	HF_Aug2019	
haplamine	IXRKDGGGFFCRIR-UHFFFAOYSA-N	[M-H]-	256.097893	4.69187098	4.49187098	4.89187098		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_4_P-1-R-D_1_Rg90to1350-CE102040--S1_Run27.mzML	HF_Aug2019	
2-phenoxyethyl 6-(3-chloro-4-hydroxy-5-methoxyphenyl)-4-methyl-2-oxo-1,3,6-tri hydropyrimidine-5-carboxylate	KCGJPQIGKYTZQW-UHFFFAOYSA-N	[M-H]-	431.101514	4.69235762	4.49235762	4.89235762		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_21_P-3-R-E_1_Rg90to1350-CE102040--S1_Run112.mzML	HF_Aug2019	
2-[4-(n,n-diethylcarbamoyl)-2-oxohydroquinolyl]-n-(2,4-difluorophenyl)acetamid e	ISJQSNYDQPXJRD-UHFFFAOYSA-N	[M-H]-	412.147798	4.69390849	4.49390849	4.89390849		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_144_P-18-R-H_1_Rg90to1350-CE102040--S1_Run727.mzML	HF_Aug2019	
n-[2-(3,4-dimethoxyphenyl)-1-methylethyl]-1,3-benzodioxole-5-carboxamide	UOGFWBMGLSZZBQ-UHFFFAOYSA-N	[M+Cl]-	378.111373	4.69553308	4.495533079	4.89553308		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_145_P-19-R-A_1_Rg90to1350-CE102040--S1_Run732.mzML	HF_Aug2019	
6-(2-1,2,3,4-tetrahydroisoquinolylsulfonyl)-1,3,4-trihydroquinolin-2-one	NCDYPYGOVNWUMY-UHFFFAOYSA-N	[M-H]-	341.0965134	4.695645686	4.495645686	4.895645686		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_218_P-28-R-B_1_Rg90to1350-CE102040--S1_Run1097.mzML	HF_Aug2019	
4'-hydroxy-3'-methoxyflavanone	ARFRWVLNDNZOTL-UHFFFAOYSA-N	[M-H]-	269.081909	4.696101384	4.496101384	4.89610138		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_16_P-2-R-H_1_Rg90to1350-CE102040--S1_Run87.mzML	HF_Aug2019	
6-amino-3-butyl-4-(7-methoxy(2h-benzo[d]1,3-dioxolan-5-yl))-4h-pyrano[2,3-c]py razole-5-carbonitrile	HBVIXPDQBSHIRL-UHFFFAOYSA-N	[M-H]-	367.1411551	4.69734102	4.49734102	4.89734102		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_101_P-13-R-E_1_Rg90to1350-CE102040--S1_Run512.mzML	HF_Aug2019	
2-(2-acetylbenzimidazolyl)-N-(2-phenoxyethyl)acetamide	VOBSJNWCSQJXKZ-UHFFFAOYSA-N	[M-H]-	336.1353415	4.699460685	4.499460685	4.899460685		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_181_P-23-R-E_1_Rg90to1350-CE102040--S1_Run912.mzML	HF_Aug2019	
methyl 3,4,5-trimethoxy-2-{[(1,3,6-trimethyl-2-oxo(3-hydrobenzimidazol-5-yl))s ulfonyl]amino}benzoate	CVGAINFJTLYTKX-UHFFFAOYSA-N	[M-H]-	478.128936	4.700111343	4.50011134	4.900111343		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_89_P-12-R-A_1_Rg90to1350-CE102040--S1_Run452.mzML	HF_Aug2019	
n-(2-fluorophenyl)-2-[2-oxo-4-(piperidylcarbonyl)hydroquinolyl]acetamide	ZQXBQBAZHPOSLU-UHFFFAOYSA-N	[M-H]-	406.15722	4.70053553	4.50053553	4.90053553		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_143_P-18-R-G_1_Rg90to1350-CE102040--S1_Run722.mzML	HF_Aug2019	
ethyl 3-butyl-4-hydroxy-2-oxohydroquinoline-6-carboxylate	GISTYWXQYUFBGX-UHFFFAOYSA-N	[M-H]-	288.124108	4.70101724	4.50101724	4.90101724		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_124_P-16-R-D_1_Rg90to1350-CE102040--S1_Run627.mzML	HF_Aug2019	
cortisol 21-acetate	ALEXXDVDDISNDU-JZYPGELDSA-N	[M+Cl]-	439.189289	4.70123897	4.501238973	4.90123897		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_38_P-5-R-F_1_Rg70to1050-CE102040--S1_Run38.mzML	HF_Aug2019	
methyl 7-(3,4-dimethoxyphenyl)-2-methyl-5-oxo-4-(3,4,5-trimethoxyphenyl)-1,4,5,6,7,8-hexahydroquinoline-3-carboxylate	GZEFCMIQEJLETH-UHFFFAOYSA-N	[M-H]-	522.213317	4.70335508	4.50335508	4.90335508		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_34_P-5-R-B_1_Rg90to1350-CE102040--S1_Run177.mzML	HF_Aug2019	
2-amino-5-oxo-4-(3,4,5-trimethoxyphenyl)-4h-pyrano[3,2-c]chromene-3-carbonitri le	UKTFMPQSNSFGKD-UHFFFAOYSA-N	[M-H]-	405.109186	4.70404839	4.50404839	4.90404839		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_41_P-6-R-A_1_Rg90to1350-CE102040--S1_Run212.mzML	HF_Aug2019	
2-amino-4-(3-hydroxy-4-methoxy-5-nitrophenyl)-5-oxo-4h-pyrano[3,2-c]chromene-3 -carbonitrile	TZESVTWNFDGIAW-UHFFFAOYSA-N	[M-H]-	406.06805	4.70424016	4.50424016	4.90424016		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_101_P-13-R-E_1_Rg90to1350-CE102040--S1_Run512.mzML	HF_Aug2019	
methyl 2-amino-4-(2,5-dichlorophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3,2-b] pyran-3-carboxylate	MOBUVCKLGDJANF-UHFFFAOYSA-N	[M-H]-	396.004693	4.70439909	4.50439909	4.90439909		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_115_P-15-R-C_1_Rg90to1350-CE102040--S1_Run582.mzML	HF_Aug2019	
3,3-dimethyl-11-(4-prop-2-ynyloxyphenyl)-2,3,4-trihydro-5h,10h,11h-benzo[1,2-f ]benzo[b]1,4-diazepin-1-one	WNRDSZGUJVKHGG-UHFFFAOYSA-N	[M-H]-	371.176478	4.70440946	4.50440946	4.90440946		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_217_P-28-R-A_1_Rg90to1350-CE102040--S1_Run1092.mzML	HF_Aug2019	
4-hydroxy-2',3,4',6'-tetramethoxychalcone	BAHHZVVNFAOLAZ-SOFGYWHQSA-N	[M-H]-	343.1186884	4.70441818	4.50441818	4.90441818		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_63_P-8-R-G_1_Rg90to1350-CE102040--S1_Run322.mzML	HF_Aug2019	
9-methyl-8-{[5-methyl-2-(4-methylphenyl)(1,3-oxazol-4-yl)]methylthio}hydropuri n-6-one	UDFCQTBFAYDADD-UHFFFAOYSA-N	[M-H]-	366.102996	4.70582377	4.50582377	4.90582377		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_306_P-Iso-V2_1_Rg90to1350-CE102040--S1_Run1537.mzML	HF_Aug2019	
2-(6,8-dimethyl-4-oxochromen-2-yl)benzoic acid	VHPPWHOLBHVFAP-UHFFFAOYSA-N	[2M-H]-	587.1711179	4.706744816	4.50674482	4.906744816		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_166_P-21-R-F_1_Rg90to1350-CE102040--S1_Run837.mzML	HF_Aug2019	
9-methyl-8-{[5-methyl-2-(3-methylphenyl)(1,3-oxazol-4-yl)]methylthio}hydropuri n-6-one	QLAYDVWGSCFURK-UHFFFAOYSA-N	[M-H]-	366.102996	4.70773768	4.50773768	4.90773768		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_153_P-20-R-A_1_Rg90to1350-CE102040--S1_Run772.mzML	HF_Aug2019	
1-[2-(3,4-dihydroisoquinolin-2(1h)-yl)-2-oxoethyl]-1h-indole-2,3-dione	DJZOGPBLSUIJPY-UHFFFAOYSA-N	[M+formate]-	365.114293	4.71064398	4.510643982	4.91064398		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_78_P-10-R-F_1_Rg90to1350-CE102040--S1_Run397.mzML	HF_Aug2019	
12-hydroxydodecanoic acid	ZDHCZVWCTKTBRY-UHFFFAOYSA-N	[M-H]-	215.165245	4.71181061	4.51181061	4.911810607		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_52_P-7-R-D_1_Rg70to1050-CE102040--S1_Run68.mzML	HF_Aug2019	
4-amino-2-[(4-methoxyphenyl)amino](1,3-thiazol-5-yl) 3,4-dimethoxyphenyl ketone	OWBQCPZBRPKYKE-UHFFFAOYSA-N	[M-H]-	384.102327	4.71406726	4.51406726	4.91406726		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_296_P-37-R-H_1_Rg90to1350-CE102040--S1_Run1487.mzML	HF_Aug2019	
methylethyl 2-amino-4-(4-fluorophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3,2-b ]pyran-3-carboxylate	WSMUAKDGOFXEQI-UHFFFAOYSA-N	[M-H]-	374.104516	4.71494671	4.51494671	4.91494671		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_116_P-15-R-D_1_Rg90to1350-CE102040--S1_Run587.mzML	HF_Aug2019	
n-(3-methylthiophenyl)-2-[2-oxo-4-(pyrrolidinylcarbonyl)hydroquinolyl]acetamid e	VGHFRJJPSMAHFO-UHFFFAOYSA-N	[M-H]-	420.138713	4.716636626	4.51663663	4.916636626		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_143_P-18-R-G_1_Rg90to1350-CE102040--S1_Run722.mzML	HF_Aug2019	
n-(3-chlorophenyl)(2-iminochromen-3-yl)carboxamide	BXABDEVENMKCAF-UHFFFAOYSA-N	[M-H]-	297.043605	4.71731636	4.51731636	4.917316355		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_113_P-15-R-A_1_Rg90to1350-CE102040--S1_Run572.mzML	HF_Aug2019	
methyl 2-amino-4-(2,4-dichlorophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3,2-b]pyran-3-carboxylate	HMZGZQPMJLEENU-UHFFFAOYSA-N	[M-H]-	396.004693	4.71732634	4.51732634	4.91732634		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_306_P-Iso-V2_1_Rg90to1350-CE102040--S1_Run1537.mzML	HF_Aug2019	
mycophenolic acid	HPNSFSBZBAHARI-RUDMXATFSA-N	[M-H]-	319.1186884	4.717390811	4.51739081	4.917390811		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_8_P-1-R-H_1_Rg90to1350-CE102040--S1_Run47.mzML	HF_Aug2019	
N-(2-chlorophenyl)-2-[2-oxo-4-(N-propylcarbamoyl)hydroquinolyl]acetamide	OHRIBSRUGFSETQ-UHFFFAOYSA-N	[M-H]-	396.112019	4.71931621	4.51931621	4.91931621		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_305_P-Iso-V1_1_Rg90to1350-CE102040--S1_Run1532.mzML	HF_Aug2019	
ethyl 4-hydroxy-2-oxo-3-benzylhydroquinoline-6-carboxylate	CCJNYIQCWWBZTE-UHFFFAOYSA-N	[M-H]-	322.108458	4.71954537	4.51954537	4.919545369		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_116_P-15-R-D_1_Rg90to1350-CE102040--S1_Run587.mzML	HF_Aug2019	
CLOXACILLIN SODIUM	LQOLIRLGBULYKD-JKIFEVAISA-N	[M-H]-	434.0582933559999	4.720158797443841	4.220158797443841	5.22015879744384		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_12_MS-P2-C3_1_Rg80to1200-CE205060norm--S1_Run74.h5	HF_Aug2019	
3-[2-(3,4-dimethoxyphenyl)-2-oxoethylidene]-1h-benzo[d]azolidin-2-one	SVEZBECVWLMTGK-RAXLEYEMSA-N	[M-H]-	308.092808	4.72170051	4.52170051	4.92170051		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_243_P-31-R-C_1_Rg90to1350-CE102040--S1_Run1222.mzML	HF_Aug2019	
chartreusin	PONPPNYZKHNPKZ-RYBWXQSLSA-N	[M-H]-	639.171906	4.72236728	4.52236728	4.92236728		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_42_P-6-R-B_1_Rg110-1600-CE102040--S1_Run221.mzML	HF_Aug2019	
11-(6-{[2-(3,4-dimethoxyphenyl)ethyl]amino}-4-chloro-1,3,5-triazin-2-yl)-7,11- diazatricyclo[7.3.1.0<2,7>]trideca-2,4-dien-6-one	DRVRFMGQMHIZLI-UHFFFAOYSA-N	[M+formate]-	527.181517	4.72305939	4.52305939	4.92305939		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_49_P-7-R-A_1_Rg90to1350-CE102040--S1_Run252.mzML	HF_Aug2019	
9-methyl-8-{[5-methyl-2-(2-methylphenyl)(1,3-oxazol-4-yl)]methylthio}hydropuri n-6-one	PKWCDBNRWKKNLH-UHFFFAOYSA-N	[M-H]-	366.102996	4.72391695	4.52391695	4.92391695		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_305_P-Iso-V1_1_Rg90to1350-CE102040--S1_Run1532.mzML	HF_Aug2019	
methyl (2e)-3-{5-[(cyclopropylamino)sulfonyl]-2-methoxyphenyl}prop-2-enoate	GNJJGWWCQOQWCZ-FPYGCLRLSA-N	[M-H]-	310.075444	4.72425836	4.52425836	4.924258361		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_160_P-20-R-H_1_Rg90to1350-CE102040--S1_Run807.mzML	HF_Aug2019	
6,8-dichloro-4-hydroxycoumarin	PCBFNVWYTUVIOL-UHFFFAOYSA-N	[M-H]-	228.946449	4.72538896	4.52538896	4.925388964		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_261_P-33-R-E_1_Rg90to1350-CE102040--S1_Run1312.mzML	HF_Aug2019	
11-(3-bromo-4-hydroxy-5-methoxyphenyl)-3-(3,4-dimethoxyphenyl)-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one	AYQMENXVDLFJKG-UHFFFAOYSA-N	[M-H]-	549.103034	4.72722029	4.52722029	4.92722029		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_33_P-5-R-A_1_Rg90to1350-CE102040--S1_Run172.mzML	HF_Aug2019	
8-{[2-(5-bromo-2-methoxyphenyl)-5-methyl(1,3-oxazol-4-yl)]methylthio}-9-methyl hydropurin-6-one	VRRWXFFDSPNQFG-UHFFFAOYSA-N	[M-H]-	460.008423	4.72835813	4.52835813	4.92835813		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_162_P-21-R-B_1_Rg90to1350-CE102040--S1_Run817.mzML	HF_Aug2019	
2,6-dichlorocinnamic acid	OIPVGRCXMFBNAN-SNAWJCMRSA-N	[M-H]-	214.967185	4.72889408	4.528894077	4.92889408		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_132_P-17-R-D_1_Rg90to1350-CE102040--S1_Run667.mzML	HF_Aug2019	
N-(3-chloro-4-methoxyphenyl)-2-(4-hydroxyquinazolin-2-ylthio)acetamide	KXYAWHKWPAZKPP-UHFFFAOYSA-N	[M-H]-	374.03714	4.73309106	4.53309106	4.93309106		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_196_P-25-R-D_1_Rg90to1350-CE102040--S1_Run987.mzML	HF_Aug2019	
n-(2,3-dimethylphenyl)-2-(4-hydroxyquinazolin-2-ylthio)acetamide	IKRHZOXFNZXZRU-UHFFFAOYSA-N	[M-H]-	338.0968478	4.73568375	4.53568375	4.93568375		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_195_P-25-R-C_1_Rg90to1350-CE102040--S1_Run982.mzML	HF_Aug2019	
4-hydroxy-5,7-dimethyl-3-phenylhydroquinolin-2-one	PPLSLNORHQCJDZ-UHFFFAOYSA-N	[M-H]-	264.102979	4.73583579	4.53583579	4.935835791		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_231_P-29-R-G_1_Rg90to1350-CE102040--S1_Run1162.mzML	HF_Aug2019	
1-{[3-amino-6-methyl-4-(trifluoromethyl)thieno[2,3-b]pyridin-2-yl]carbonyl}-l-proline	LUPOYOUOQBNILQ-QMMMGPOBSA-N	[M-H]-	372.063497	4.73607708	4.53607708	4.93607708		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_109_P-14-R-E_1_Rg90to1350-CE102040--S1_Run552.mzML	HF_Aug2019	
2-([(4-methylphenyl)sulfonyl]amino)-3-phenylpropanoic acid	CGRCVIZBNRUWLY-UHFFFAOYSA-N	[M-H]-	318.080529	4.73676471	4.536764705	4.93676471		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_25_P-4-R-A_1_Rg90to1350-CE102040--S1_Run132.mzML	HF_Aug2019	
2-(3-fluorobenzyl)-1-(4-methoxyphenyl)-2,3,4,9-tetrahydro-1h-beta-carboline	INSVWROLWVFFJE-UHFFFAOYSA-N	[M+Cl]-	421.148842	4.73910905	4.53910905	4.93910905		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_130_P-17-R-B_1_Rg90to1350-CE102040--S1_Run657.mzML	HF_Aug2019	
2-(6-oxo-9-phenylhydropurin-8-ylthio)-n-phenyl-n-prop-2-enylacetamide	GNDLZMJWWZKWMG-UHFFFAOYSA-N	[M-H]-	416.118646	4.74242815	4.542428154	4.94242815		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_185_P-24-R-A_1_Rg90to1350-CE102040--S1_Run932.mzML	HF_Aug2019	
methyl 2-[2-(6-oxo-9-phenylhydropurin-8-ylthio)acetylamino]benzoate	IQSVGTXQYJXXFY-UHFFFAOYSA-N	[M-H]-	434.092825	4.74263286	4.54263286	4.942632858		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_190_P-24-R-F_1_Rg90to1350-CE102040--S1_Run957.mzML	HF_Aug2019	
