label	compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	lcmsrun_source	rt_space
{2-[(3,4-dimethoxybenzoyl)amino]-1,3-thiazol-4-yl}acetic acid	{2-[(3,4-dimethoxybenzoyl)amino]-1,3-thiazol-4-yl}acetic acid	IMLACUXSWYHVFF-UHFFFAOYSA-N	[M+H]+	323.069643	3.84307722	3.643077217	4.04307722	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_303_P-38-R-G_1_Rg90to1350-CE102040--S1_Run1520.mzML	HF_Aug2019
2-[4-(diethylamino)phenyl]-6-hydroxy-3-azabicyclo[4.4.0]dec-3-yl 2-methoxyphenyl ketone	2-[4-(diethylamino)phenyl]-6-hydroxy-3-azabicyclo[4.4.0]dec-3-yl 2-methoxyphenyl ketone	CDRPREWFAAIKMU-UHFFFAOYSA-N	[M+H]+	437.279893	3.84326622	3.64326622	4.04326622	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_131_P-17-R-C_1_Rg90to1350-CE102040--S1_Run660.mzML	HF_Aug2019
6-amino-4-(4-hydroxyphenyl)-3-propyl-4h-pyrano[3,2-d]pyrazole-5-carbonitrile	6-amino-4-(4-hydroxyphenyl)-3-propyl-4h-pyrano[3,2-d]pyrazole-5-carbonitrile	VSLVXHGVRYHBFZ-UHFFFAOYSA-N	[M+H]+	297.134626	3.84335081	3.643350814	4.04335081	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_57_P-8-R-A_1_Rg90to1350-CE102040--S1_Run290.mzML	HF_Aug2019
n-(4-ethoxyphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide	n-(4-ethoxyphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide	SUWKBTLYLHQZKH-UHFFFAOYSA-N	[M+H]+	360.11251	3.84371701	3.64371701	4.04371701	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_165_P-21-R-E_1_Rg90to1350-CE102040--S1_Run830.mzML	HF_Aug2019
ginkgolide a	ginkgolide a	FPUXKXIZEIDQKW-JHYXGPMBSA-N	[M+H]+	409.149332	3.84462738	3.64462738	4.04462738	5.0	positive		20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_36_P-5-R-D_1_Rg90to1350-CE102040--S1_Run185.mzML	HF_Aug2019
3-(4-oxo-6,8-dioxa-bicyclo[3.2.1]oct-2-yl)-3h-benzooxazol-2-one	3-(4-oxo-6,8-dioxa-bicyclo[3.2.1]oct-2-yl)-3h-benzooxazol-2-one	SDNPWXVGSFCVMZ-UHFFFAOYSA-N	[M+H]+	262.071023	3.84523082	3.645230816	4.04523082	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_273_P-35-R-A_1_Rg90to1350-CE102040--S1_Run1370.mzML	HF_Aug2019
6-amino-4-(4-hydroxy-3-methoxyphenyl)-3-(methylethyl)-4h-pyrano[2,3-c]pyrazole -5-carbonitrile	6-amino-4-(4-hydroxy-3-methoxyphenyl)-3-(methylethyl)-4h-pyrano[2,3-c]pyrazole -5-carbonitrile	IQTCHXYOZMFANY-UHFFFAOYSA-N	[M+H]+	327.14519	3.84542398	3.64542398	4.04542398	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_117_P-15-R-E_1_Rg90to1350-CE102040--S1_Run590.mzML	HF_Aug2019
2-[(1-benzyl-4-piperidinyl)amino]-3-chloronaphthoquinone	2-[(1-benzyl-4-piperidinyl)amino]-3-chloronaphthoquinone	ZQLPKRQGSUVDAY-UHFFFAOYSA-N	[M+H]+	381.136456	3.84694484	3.64694484	4.04694484	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_34_P-5-R-B_1_Rg90to1350-CE102040--S1_Run175.mzML	HF_Aug2019
n-(3,4-dimethoxyphenyl)-2-[4-(morpholin-4-ylcarbonyl)-2-oxohydroquinolyl]aceta mide	n-(3,4-dimethoxyphenyl)-2-[4-(morpholin-4-ylcarbonyl)-2-oxohydroquinolyl]aceta mide	WLLZCSGOEJWZGW-UHFFFAOYSA-N	[M+H]+	452.181636	3.84823298	3.64823298	4.04823298	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_149_P-19-R-E_1_Rg90to1350-CE102040--S1_Run750.mzML	HF_Aug2019
methyl 8,9-dimethoxy-2,4-dimethyl-5-oxo-6-hydropyridino[3,4-c]quinolinecarboxy late	methyl 8,9-dimethoxy-2,4-dimethyl-5-oxo-6-hydropyridino[3,4-c]quinolinecarboxy late	HCBYVASAEKFPRB-UHFFFAOYSA-N	[M+H]+	343.128872	3.84855252	3.648552521	4.048552521	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_106_P-14-R-B_1_Rg90to1350-CE102040--S1_Run535.mzML	HF_Aug2019
ethyl 2-(4-methoxybenzamido)acetate	ethyl 2-(4-methoxybenzamido)acetate	ZFELUNTWQDERLR-UHFFFAOYSA-N	[M+H]+	238.107408	3.84932533	3.64932533	4.04932533	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_73_P-10-R-A_1_Rg90to1350-CE102040--S1_Run370.mzML	HF_Aug2019
(3,4-dimethoxyphenyl)-n-{[4-(3-chlorophenyl)piperazinyl]methyl}carboxamide	(3,4-dimethoxyphenyl)-n-{[4-(3-chlorophenyl)piperazinyl]methyl}carboxamide	NRUMXFTUAXPQRS-UHFFFAOYSA-N	[M+H]+	390.157919	3.85079263	3.65079263	4.05079263	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_183_P-23-R-G_1_Rg90to1350-CE102040--S1_Run920.mzML	HF_Aug2019
2-(4-methyl-2-oxochromen-7-yloxy)propanoic acid	2-(4-methyl-2-oxochromen-7-yloxy)propanoic acid	UDYRIQUHULSYII-UHFFFAOYSA-N	[M+H]+	249.075774	3.85116806	3.65116806	4.05116806	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_134_P-17-R-F_1_Rg90to1350-CE102040--S1_Run675.mzML	HF_Aug2019
marmesin	marmesin	FWYSBEAFFPBAQU-UHFFFAOYSA-N	[M+H]+	247.096509	3.85311546	3.653115461	4.05311546	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_68_P-9-R-D_1_Rg90to1350-CE102040--S1_Run345.mzML	HF_Aug2019
n-(tert-butyl)-2-{4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}acetamide	n-(tert-butyl)-2-{4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}acetamide	CWEBXGYZIMRIBG-UHFFFAOYSA-N	[M+H]+	402.238757	3.85396691	3.65396691	4.05396691	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_147_P-19-R-C_1_Rg90to1350-CE102040--S1_Run740.mzML	HF_Aug2019
2-[6-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-azabicyclo[4.4.0]dec-3-yl]-n-naph thylacetamide	2-[6-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-azabicyclo[4.4.0]dec-3-yl]-n-naph thylacetamide	LCAMLBZQFNLJDC-UHFFFAOYSA-N	[M+H]+	461.243508	3.85462055	3.65462055	4.05462055	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_136_P-17-R-H_1_Rg90to1350-CE102040--S1_Run685.mzML	HF_Aug2019
selgin (3'-o-methyltricetin) pk2	selgin (3'-o-methyltricetin) pk2	UGPOBASOHYMNAK-UHFFFAOYSA-N	[M+H]+	317.0655787239999	3.854787349700928	3.354787349700928	4.354787349700928	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/egsb/20230519_EB_YT_100822-015_RootExuMetabolite_20230313-POS_QE144_C18-EP_USDAY72350/20230519_EB_YT_100822-015_RootExuMetabolite_20230313-POS_QE144_C18-EP_USDAY72350_POS_MS2_70_RS-Selgin-100uM-NA-NA_1__67.h5	HF_Aug2019
3,6,4'-trihydroxyflavone	3,6,4'-trihydroxyflavone	QUPHEKFURGDWME-UHFFFAOYSA-N	[M+H]+	271.0601234	3.85500817	3.655008167	4.055008167	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_81_P-Iso1n2n3n4n5n6-V1_1_Rg90to1350-CE102040--S1_Run410.mzML	HF_Aug2019
4-{[4-(3-fluorobenzyl)piperazin-1-yl]methyl}-7-methyl-2h-chromen-2-one	4-{[4-(3-fluorobenzyl)piperazin-1-yl]methyl}-7-methyl-2h-chromen-2-one	QKYFTJAFLSJTGQ-UHFFFAOYSA-N	[M+H]+	367.181656	3.85535601	3.655356009	4.05535601	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_146_P-19-R-B_1_Rg90to1350-CE102040--S1_Run735.mzML	HF_Aug2019
7,8-dihydroxyflavone	7,8-dihydroxyflavone	COCYGNDCWFKTMF-UHFFFAOYSA-N	[M+H]+	255.065209	3.85598119	3.65598119	4.05598119	5.0	positive		20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_POS_MSMS_11_P-2-R-C_1_Rg90to1350-CE102040--S1_Run60.mzML	HF_Aug2019
2-{2-benzimidazol-2-yl-1-[(4-methylphenyl)methyl]ethyl}benzimidazole	2-{2-benzimidazol-2-yl-1-[(4-methylphenyl)methyl]ethyl}benzimidazole	GAODIMGJPXDDHA-UHFFFAOYSA-N	[M+H]+	367.191747	3.85652862	3.65652862	4.05652862	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_7_P-1-R-G_1_Rg90to1350-CE102040--S1_Run40.mzML	HF_Aug2019
5-(benzimidazol-2-ylmethylthio)-1-benzyl-1,2,3,4-tetraazole	5-(benzimidazol-2-ylmethylthio)-1-benzyl-1,2,3,4-tetraazole	VHWNAFASIAKDIM-UHFFFAOYSA-N	[M+H]+	323.1073654	3.85685585	3.656855852	4.05685585	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_222_P-28-R-F_1_Rg90to1350-CE102040--S1_Run1115.mzML	HF_Aug2019
ginkgolide b	ginkgolide b	SQOJOAFXDQDRGF-SRJUFZACSA-N	[M+Na]+	447.126147	3.85794874	3.65794874	4.05794874	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_25_P-4-R-A_1_Rg90to1350-CE102040--S1_Run130.mzML	HF_Aug2019
2,3,4-trihydrobeta-carbolin-1-one	2,3,4-trihydrobeta-carbolin-1-one	FZHZQHNKCPJTNQ-UHFFFAOYSA-N	[M+H]+	187.086613	3.85846315	3.658463149	4.05846315	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_176_P-22-R-H_1_Rg90to1350-CE102040--S1_Run885.mzML	HF_Aug2019
n-(2,5-dimethylphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide	n-(2,5-dimethylphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide	JICVQXRGWUXWMP-UHFFFAOYSA-N	[M+H]+	344.117596	3.859684	3.659684	4.059684	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_306_P-Iso-V2_1_Rg90to1350-CE102040--S1_Run1535.mzML	HF_Aug2019
methyllycaconitine perchlorate	methyllycaconitine perchlorate	XLTANAWLDBYGFU-HWTSXHGLSA-N	[M+H]+	683.3538458	3.85969971	3.659699706	4.05969971	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_5_P-1-R-E_1_Rg90to1350-CE102040--S1_Run30.mzML	HF_Aug2019
